Product_ID,Product_Name,Feature_Set,User_Base,Market_Position,Customer_Satisfaction,Competitor_Price,Cost_to_Develop,Desired_Profit_Margin,Buyer_Budget,Price
P233,Product_233,10,4141,Niche,4.669860474,56.81279187,151376,0.67355187,49.65600967,61.17739384
P060,Product_60,15,16338,Niche,4.787785166,25.04081565,226572,0.684747651,21.10328111,23.36373147
P007,Product_7,16,1301,Mainstream,4.979920465,115.7280846,83320,0.791104739,99.47486588,114.7077993
P186,Product_186,10,1728,Premium,4.599832171,246.6761644,246733,0.700513215,208.214824,242.8082911
P174,Product_174,16,8357,Premium,4.287999086,35.73200447,182130,0.738990218,29.28041397,37.89904133
P031,Product_31,29,13249,Premium,3.327311886,18.21147388,161562,0.63622987,15.02458891,19.95264324
P023,Product_23,21,8455,Mainstream,3.362466132,44.47713023,209033,0.76060518,38.47875775,43.52744915
P257,Product_257,12,4627,Premium,3.766277056,80.63425189,246037,0.619616516,70.02280895,86.12180435
P057,Product_57,17,18532,Mainstream,4.588050379,23.93683693,241387,0.756105103,21.51219792,22.87399862
P187,Product_187,28,18749,Premium,3.357089324,16.22612231,176945,0.679732606,13.18685295,15.85259406
P109,Product_109,12,12310,Mainstream,4.851137026,10.92708481,83142,0.666600383,9.339162488,11.25625419
P127,Product_127,22,5611,Mainstream,4.839711233,36.26936515,114674,0.732982345,31.20440288,35.41757573
P231,Product_231,26,5312,Niche,3.515775371,30.57014532,104061,0.68995693,25.24393481,33.10591267
P194,Product_194,26,5171,Niche,4.660439729,66.41188381,187710,0.709905907,53.78201265,62.07047724
P130,Product_130,26,1851,Niche,4.475002496,124.9725651,136475,0.646928416,104.3848754,121.4287172
P283,Product_283,15,1539,Niche,4.541824407,123.7651626,129973,0.613330408,104.3280772,136.2504179
P083,Product_83,22,9308,Premium,4.085448887,15.54516613,81585,0.685639923,13.04466094,14.77470274
P085,Product_85,16,2150,Niche,3.691391987,78.46197398,93585,0.73848723,68.58627617,75.67271043
P067,Product_67,13,1876,Niche,4.13977937,174.2157619,182028,0.747374749,141.6757305,169.5475111
P289,Product_289,10,6320,Niche,3.869654677,43.20308502,157522,0.60833458,38.18337519,40.08672147
P164,Product_164,28,6988,Mainstream,4.048780539,62.41879376,231180,0.763489942,54.92611632,58.3405273
P155,Product_155,22,4267,Premium,4.796108579,58.58066419,142324,0.720118867,52.32598043,57.37384524
P020,Product_20,30,2895,Niche,3.248594447,88.50064032,148511,0.651355314,74.74714126,84.71310157
P125,Product_125,24,10540,Niche,3.796337387,19.54343216,111272,0.751232666,16.85121362,18.48796596
P080,Product_80,22,15098,Niche,4.440073073,13.91860954,122099,0.627287951,11.87707028,13.16003653
P115,Product_115,14,3479,Mainstream,4.841683765,99.24592799,216205,0.693041122,82.68312491,105.215279
P119,Product_119,10,3849,Premium,3.798005408,36.59460471,85046,0.635060588,30.58109281,36.12765985
P073,Product_73,17,7799,Premium,4.692904583,31.33572306,149259,0.721418807,25.18313828,32.94489674
P016,Product_16,11,18568,Niche,3.697736533,7.783331193,74826,0.786887205,6.529449117,7.200862882
P011,Product_11,30,1190,Niche,4.363005444,310.2802443,207361,0.729494943,259.0929085,301.3695806
